Type,Name,Address
AnmManager*,          g_anmManager,             0x4c3268
Supervisor,           g_supervisor,             0x4c3280
RenderVertex144[4],   g_renderQuad144,          0x4c91d8
Chain*,               g_chain,                  0x4c3234
Window,               g_window,                 0x4c3d88
PbgArchive,           g_pbgArchive,             0x4c9680
PbgArchive*,          g_pbgArchives,            0x4c3c48
int,                  g_numEntriesInDatFile,    0x4a8ed0
byte[0x2001],         g_lzssDict,               0x4c0ee8
LzssTreeNode[0x2001], g_lzssTree,               0x4a8ed8
FpsCounter*,          g_fpsCounter,             0x4a8d80
Spellcard*,           g_spellcard,              0x4a8d6c
RenderVertexSq[4],    g_squareVertices,         0x4c9248
float,                g_gameSpeed,              0x4a7948
Globals,              g_globals,                0x4a56e0
Player*,              g_player,                 0x4a8eb4
SoundManager,         g_soundManager,           0x4c3e80
SoundConfig[56],      g_soundConfigTable,       0x4a34f0
RngContext,           g_anmRngContext,          0x4c2ef8
RngContext,           g_replayRngContext,       0x4c2f00
HANDLE,               g_app,                    0x4c9898
HFONT,                g_gdiObject_0,            0x4c2eec
HFONT,                g_gdiObject_2,            0x4c0ee4
HFONT,                g_gdiObject_1,            0x4c2ee8
HFONT,                g_gdiObject_3,            0x4a8ed4
int,                  g_joyAxisX_Min,           0x4c2f2c
int,                  g_joyAxisX_Max,           0x4c2f30
int,                  g_joyAxisY_Min,           0x4c2f34
int,                  g_joyAxisY_Max,           0x4c2f38
GameConfig,           g_defaultGameConfig,      0x4c93d8
InputManager,         g_inputManager,           0x4c92a8
LaserBaseVftable,     g_laserDataVftable,       0x494a0c
LaserManager*,        g_laserManager,           0x4a8e94
ItemManager*,         g_itemManager,            0x4a8e90
char[256],            g_currentEclFilePath,     0x4c9928
EnemyManager*,        g_enemyManager,           0x4a8d7c
Bomb*,                g_bomb,                   0x4a8d64
ShotFile*,            g_shotFile,               0x4c3240
uint32_t,             g_lockedTexPitch,         0x4a58d0
void*,                g_lockedTexBits,          0x4a58e0
D3DFORMAT,            g_lockedTexFormat,        0x4a58c0
HDC,                  g_softwareCanvas,         0x4a58d4
int,                  g_lockedTexBufferSize,    0x4a58cc
void**,               g_ShooterOnInitCallbacks, 0x4a3a28
void**,               g_ShooterOnTickCallbacks, 0x4a3a3c
void**,               g_ShooterOnDrawCallbacks, 0x4c3244
void**,               g_ShooterOnHitCallbacks,  0x4c3248
int[6][16],           g_optionFormationOffsets, 0x4a7ac8
JOYCAPSA,             g_joyCaps,                0x4c2f08
BulletManager*,       g_bulletManager,          0x4a8d68
Gui*,                 g_gui,                    0x4a8d84
